Project Title,LNA ID/s (axb),Session ID,BiasID,Date,Time,Comment, ,Center Frequency (GHz),Marker Frequency (GHz),Resolution Bandwidth (MHz),Video Bandwidth (Hz),Frequency Span (MHz),Power Bandwidth (MHz),Attenuation (dB), ,L1S1GV Set (V),L1S1DV Set (V),L1S1DI Set (mA),L1S2GV Set (V),L1S2DV Set (V),L1S2DI Set (mA),L1S3GV Set (V),L1S3DV Set (V),L1S3DI Set (mA), ,L2S1GV Set (V),L2S1DV Set (V),L2S1DI Set (mA),L2S2GV Set (V),L2S2DV Set (V),L2S2DI Set (mA),L2S3GV Set (V),L2S3DV Set (V),L2S3DI Set (mA), ,L1S1GV Meas (V),L1S1DV Meas (V),L1S1DI Meas (mA),L1S2GV Meas (V),L1S2DV Meas (V),L1S2DI Meas (mA),L1S3GV Meas (V),L1S3DV Meas (V),L1S3DI Meas (mA), ,L2S1GV Meas (V),L2S1DV Meas (V),L2S1DI Meas (mA),L2S2GV Meas (V),L2S2DV Meas (V),L2S2DI Meas (mA),L2S3GV Meas (V),L2S3DV Meas (V),L2S3DI Meas (mA), ,CRBE GV Set (V),CRBE DV Set (V),CRBE DI Set (mA),RTBE GV Set (V),RTBE DV Set (V),RTBE DI Set (mA), ,CRBE GV Meas (V),CRBE DV Meas (V),CRBE DI Meas (mA),RTBE GV Meas (V),RTBE DV Meas (V),RTBE DI Meas (mA)
ESO LNAs,21x25,3,1,2022217,23 43,NA,,0.075,0.075,8,10,25,24,10,,+0.250,+0.700,+8.000,+0.213,+1.000,+6.000,NA,NA,NA,,+0.081,+1.000,+6.000,+0.081,+1.000,+6.000,NA,NA,NA,,0.243,0.801,6.746,0.207,1.076,6.005,NA,NA,NA,,0.086,1.016,6.361,0.085,1.016,6.464,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.953999999999999,-0.171,1.22,16.17
ESO LNAs,21x25,3,2,2022217,23 43,NA,,0.075,0.075,8,10,25,24,10,,+0.206,+0.900,+8.000,+0.213,+1.000,+6.000,NA,NA,NA,,+0.088,+1.000,+6.000,+0.081,+1.000,+6.000,NA,NA,NA,,0.206,1.001,7.401,0.207,1.076,5.998,NA,NA,NA,,0.086,1.016,6.361,0.085,1.016,6.464,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.953999999999999,-0.171,1.22,16.17
ESO LNAs,21x25,3,3,2022217,23 43,NA,,0.075,0.075,8,10,25,24,10,,+0.106,+1.000,+6.000,+0.250,+0.700,+8.000,NA,NA,NA,,+0.088,+1.000,+6.000,+0.081,+1.000,+6.000,NA,NA,NA,,0.109,1.001,5.493,0.243,0.801,4.732,NA,NA,NA,,0.086,1.016,6.368,0.084,1.016,6.471,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.953999999999999,-0.171,1.22,16.17
ESO LNAs,21x25,3,4,2022217,23 43,NA,,0.075,0.075,8,10,25,24,10,,+0.106,+1.000,+6.000,+0.250,+0.900,+8.000,NA,NA,NA,,+0.088,+1.000,+6.000,+0.081,+1.000,+6.000,NA,NA,NA,,0.109,1.001,5.493,0.243,1.001,5.977,NA,NA,NA,,0.087,1.016,6.368,0.084,1.016,6.471,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.953999999999999,-0.171,1.22,16.17
"
"
ESO LNAs,21x25,4,1,2022218,1 12,NA,,0.075,0.075,8,10,25,24,10,,+0.150,+0.800,+5.000,+0.250,+0.900,+6.000,NA,NA,NA,,+0.125,+0.900,+6.000,+0.125,+0.900,+6.000,NA,NA,NA,,0.146,0.863,5.322,0.243,0.975,5.827,NA,NA,NA,,0.124,0.916,6.375,0.122,0.916,6.421,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.961,-0.171,1.22,16.199
ESO LNAs,21x25,4,2,2022218,1 12,NA,,0.075,0.075,8,10,25,24,10,,+0.075,+1.000,+5.000,+0.250,+0.900,+6.000,NA,NA,NA,,+0.125,+0.900,+6.000,+0.125,+0.900,+6.000,NA,NA,NA,,0.072,1.063,5.065,0.243,0.976,5.806,NA,NA,NA,,0.124,0.916,6.375,0.122,0.916,6.414,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.961,-0.171,1.22,16.199
ESO LNAs,21x25,4,3,2022218,1 12,NA,,0.075,0.075,8,10,25,24,10,,+0.125,+0.900,+6.000,+0.225,+0.800,+5.000,NA,NA,NA,,+0.125,+0.900,+6.000,+0.125,+0.900,+6.000,NA,NA,NA,,0.121,0.976,5.578,0.219,0.862,4.789,NA,NA,NA,,0.124,0.916,6.368,0.122,0.916,6.414,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.961,-0.171,1.22,16.199
ESO LNAs,21x25,4,4,2022218,1 12,NA,,0.075,0.075,8,10,25,24,10,,+0.125,+0.900,+6.000,+0.100,+1.000,+5.000,NA,NA,NA,,+0.125,+0.900,+6.000,+0.125,+0.900,+6.000,NA,NA,NA,,0.121,0.976,5.578,0.097,1.063,4.824,NA,NA,NA,,0.124,0.916,6.375,0.122,0.916,6.414,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.961,-0.171,1.22,16.199
"
"
ESO LNAs,21x25,5,1,2022218,3 15,NA,,0.075,0.075,8,10,25,24,10,,+0.131,+0.800,+5.000,+0.250,+0.900,+6.000,NA,NA,NA,,+0.106,+0.900,+6.000,+0.100,+0.900,+6.000,NA,NA,NA,,0.127,0.863,4.973,0.243,0.976,5.827,NA,NA,NA,,0.104,0.916,6.005,0.096,0.916,5.965,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.961,-0.171,1.22,16.177
ESO LNAs,21x25,5,2,2022218,3 15,NA,,0.075,0.075,8,10,25,24,10,,+0.069,+1.000,+5.000,+0.250,+0.900,+6.000,NA,NA,NA,,+0.106,+0.900,+6.000,+0.100,+0.900,+6.000,NA,NA,NA,,0.066,1.063,4.937,0.243,0.975,5.806,NA,NA,NA,,0.104,0.916,6.005,0.096,0.916,5.972,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.961,-0.171,1.22,16.177
ESO LNAs,21x25,5,3,2022218,3 15,NA,,0.075,0.075,8,10,25,24,10,,+0.144,+0.900,+6.000,+0.244,+0.800,+5.000,NA,NA,NA,,+0.106,+0.900,+6.000,+0.100,+0.900,+6.000,NA,NA,NA,,0.140,0.976,5.948,0.238,0.862,5.031,NA,NA,NA,,0.104,0.916,6.005,0.096,0.916,5.965,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.961,-0.171,1.22,16.177
ESO LNAs,21x25,5,4,2022218,3 15,NA,,0.075,0.075,8,10,25,24,10,,+0.144,+0.900,+6.000,+0.119,+1.000,+5.000,NA,NA,NA,,+0.106,+0.900,+6.000,+0.100,+0.900,+6.000,NA,NA,NA,,0.140,0.976,5.948,0.116,1.063,4.981,NA,NA,NA,,0.104,0.916,6.005,0.096,0.916,5.958,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.961,-0.171,1.22,16.177
"
"
ESO LNAs,21x25,6,1,2022218,3 57,NA,,0.075,0.075,8,10,25,24,10,,+0.131,+0.800,+5.000,+0.250,+0.900,+6.000,NA,NA,NA,,+0.106,+0.900,+6.000,+0.100,+0.900,+6.000,NA,NA,NA,,0.127,0.863,4.987,0.243,0.976,5.849,NA,NA,NA,,0.104,0.916,6.005,0.096,0.916,5.965,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.961,-0.171,1.22,16.191
ESO LNAs,21x25,6,2,2022218,3 57,NA,,0.075,0.075,8,10,25,24,10,,+0.069,+1.000,+5.000,+0.250,+0.900,+6.000,NA,NA,NA,,+0.106,+0.900,+6.000,+0.100,+0.900,+6.000,NA,NA,NA,,0.066,1.063,4.937,0.244,0.975,5.827,NA,NA,NA,,0.104,0.916,5.998,0.096,0.916,5.936,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.961,-0.171,1.22,16.191
ESO LNAs,21x25,6,3,2022218,3 57,NA,,0.075,0.075,8,10,25,24,10,,+0.144,+0.900,+6.000,+0.237,+0.800,+5.000,NA,NA,NA,,+0.106,+0.900,+6.000,+0.100,+0.900,+6.000,NA,NA,NA,,0.140,0.976,5.955,0.232,0.862,4.967,NA,NA,NA,,0.104,0.916,5.991,0.096,0.916,5.936,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.961,-0.171,1.22,16.191
ESO LNAs,21x25,6,4,2022218,3 57,NA,,0.075,0.075,8,10,25,24,10,,+0.144,+0.900,+6.000,+0.119,+1.000,+5.000,NA,NA,NA,,+0.106,+0.900,+6.000,+0.100,+0.900,+6.000,NA,NA,NA,,0.140,0.976,5.955,0.116,1.063,4.988,NA,NA,NA,,0.104,0.916,5.991,0.096,0.916,5.944,NA,NA,NA,,NA,+1.260,+13.900,NA,+1.220,+16.000,,0.129,1.26,13.961,-0.171,1.22,16.191
"
"
