,,,,,,,,,,,,,,,FBW,FBW,FBW,FBW,FBW,FBW,FBW,FBW,FBW,FBW,,BW1,BW1,BW1,BW1,BW1,BW1,BW1,BW1,BW1,BW1,,BW2,BW2,BW2,BW2,BW2,BW2,BW2,BW2,BW2,BW2,,BW3,BW3,BW3,BW3,BW3,BW3,BW3,BW3,BW3,BW3,,BW4,BW4,BW4,BW4,BW4,BW4,BW4,BW4,BW4,BW4,,BW5,BW5,BW5,BW5,BW5,BW5,BW5,BW5,BW5,BW5
Project Title,LNA ID/s (axb),Session ID,BiasID,Date,Time,Comment, ,FBW,BW 1,BW 2,BW 3,BW 4,BW 5, ,Gain Avg (dB),Gain Std Dev,Gain Min (dB),Gain Max (dB),Gain Range (dB),Noise Temp Avg (K),Noise Temp Std Dev,Noise Temp Min (K),Noise Temp Max (K),Noise Temp Range (K), ,Gain Avg (dB),Gain Std Dev,Gain Min (dB),Gain Max (dB),Gain Range (dB),Noise Temp Avg (K),Noise Temp Std Dev,Noise Temp Min (K),Noise Temp Max (K),Noise Temp Range (K), ,Gain Avg (dB),Gain Std Dev,Gain Min (dB),Gain Max (dB),Gain Range (dB),Noise Temp Avg (K),Noise Temp Std Dev,Noise Temp Min (K),Noise Temp Max (K),Noise Temp Range (K), ,Gain Avg (dB),Gain Std Dev,Gain Min (dB),Gain Max (dB),Gain Range (dB),Noise Temp Avg (K),Noise Temp Std Dev,Noise Temp Min (K),Noise Temp Max (K),Noise Temp Range (K), ,Gain Avg (dB),Gain Std Dev,Gain Min (dB),Gain Max (dB),Gain Range (dB),Noise Temp Avg (K),Noise Temp Std Dev,Noise Temp Min (K),Noise Temp Max (K),Noise Temp Range (K), ,Gain Avg (dB),Gain Std Dev,Gain Min (dB),Gain Max (dB),Gain Range (dB),Noise Temp Avg (K),Noise Temp Std Dev,Noise Temp Min (K),Noise Temp Max (K),Noise Temp Range (K)
ESO LNAs,21x25,3,1,2022217,23 43,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.787653554077025,68.206690889491,8.372948239397468,26.220389641677432,17.847441402279962,107.7105466203089,34.122540248882224,60.88737075426374,194.88719807062364,133.9998273163599,,18.80873892615209,90.32888019128315,8.919916852253495,26.220389641677432,17.300472789423935,99.55952070983189,30.674121782895565,60.88737075426374,194.88719807062364,133.9998273163599,,13.244360932336868,11.692417540528345,8.372948239397468,17.00295828499456,8.630010045597091,118.18466785370755,38.4584851542883,69.79244929975734,194.88719807062364,125.0947487708663,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,3,2,2022217,23 43,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.614588634692623,62.72702157295905,8.2526785817279,25.895774696296883,17.643096114568984,111.0227464363635,31.59862908887665,60.96587425260543,205.06138606752359,144.09551181491815,,18.412863295556644,83.13473285161453,10.120941877908063,25.895774696296883,15.77483281838882,112.92006776299813,32.5595724881596,60.96587425260543,171.29289207979667,110.32701782719124,,13.754092408693284,17.986667086830543,8.2526785817279,19.634393537358786,11.381714955630887,109.09731893709655,30.632701970740488,69.49210708276313,205.06138606752359,135.56927898476044,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,3,3,2022217,23 43,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.65078257959837,60.2009949473476,6.840192056416763,25.63927630640797,18.79908424999121,109.18179107882095,32.61939309743698,64.20678530201036,189.75435070420488,125.54756540219452,,18.56112363353506,78.12631426730795,11.7702593628931,25.63927630640797,13.869016943514872,100.98882277752833,30.935457807022733,72.33031509495258,189.15083323135823,116.82051813640565,,13.517438122946952,16.51192487062743,6.840192056416763,19.559757622146726,12.719565565729964,115.09956008797482,33.35569083801428,64.20678530201036,189.75435070420488,125.54756540219452,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,3,4,2022217,23 43,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,17.005338302836137,78.18555624447255,7.904624723163907,27.091539322991625,19.18691459982772,104.29822596249855,32.68960260826266,59.0304774717438,189.2808530114031,130.2503755396593,,18.78577906424669,106.71119027619822,11.876027787424219,27.091539322991625,15.215511535567407,109.37896532721871,35.425509940195106,60.763177069518534,189.2808530114031,128.5176759418846,,14.197641585351251,17.437959158346548,7.904624723163907,18.442655729903123,10.538031006739217,99.02727578723002,29.445678180754047,59.0304774717438,162.09210920627328,103.06163173452947,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
"
"
ESO LNAs,21x25,4,1,2022218,1 12,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.210364210438538,48.9419384106665,6.789935206789317,24.452768802023954,17.662833595234638,114.81194903881563,27.358178337975048,63.25511094744145,177.81180302259736,114.55669207515591,,17.99983684361118,63.553170440189376,9.789943398299695,24.452768802023954,14.66282540372426,114.86513064378163,26.051992722268608,72.53032290365789,177.81180302259736,105.28148011893947,,13.395732412530315,11.715655653424587,6.789935206789317,17.22809336492808,10.438158158138762,113.83351822186042,28.870365853411748,63.25511094744145,163.42867119653246,100.17356024909101,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,4,2,2022218,1 12,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.771290302119432,63.560982699177636,6.9155419867434995,26.031259958725773,19.115717971982274,110.12113676081668,32.42719285744307,65.32512561592318,174.07610639602638,108.75098078010319,,18.665583717062937,82.48237126527873,9.35140029437535,26.031259958725773,16.679859664350424,103.33084589616865,35.34957309978078,66.93962076597016,174.07610639602638,107.13648563005621,,13.616535963125088,20.09797231430951,6.9155419867434995,20.41651945094831,13.500977464204812,118.50165866609966,30.24826616506975,65.32512561592318,173.42824745190484,108.10312183598165,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,4,3,2022218,1 12,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.660180635821355,64.57844731385133,7.999331811417471,26.11993884898866,18.12060703757119,108.32774948319813,36.79102916016514,61.79440355087371,202.7492985723902,140.95489502151648,,18.499318198406655,86.39897705530667,10.404024060635852,26.11993884898866,15.715914788352809,109.18207481859866,31.166437973569366,66.69615212853526,185.54385612288553,118.84770399435027,,13.728303634106156,14.037874627235558,7.999331811417471,17.79214384767519,9.792812036257722,106.12028579733146,41.77042556499581,61.79440355087371,202.7492985723902,140.95489502151648,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,4,4,2022218,1 12,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.300774401678183,50.17403487329152,8.77532439045489,24.88798429618134,16.112659905726453,111.48094757136614,28.33797825361248,61.500496312678806,168.7233388548347,107.2228425421559,,18.028302702217147,65.48580327027443,10.258516575177214,24.88798429618134,14.629467721004126,113.53095711484127,28.882320644987875,70.57623197971053,163.03646370252156,92.46023172281103,,13.608127163425895,13.628698430664006,8.77532439045489,17.837945996833596,9.062621606378707,110.41614296968538,28.04489853378741,61.500496312678806,168.7233388548347,107.2228425421559,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
"
"
ESO LNAs,21x25,5,1,2022218,3 15,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.196441429003144,44.471135471546944,7.329650593755651,24.329406504606,16.999755910850347,113.97097989156163,37.835605898253405,62.75102617421923,201.0536148811862,138.302588706967,,17.788913010286787,56.98751726578819,10.558398586435821,24.329406504606,13.771007918170177,118.94326039437728,35.05327911827925,63.384853788674356,173.93280092373053,110.54794713505618,,13.846316003074202,15.93470343731546,7.329650593755651,18.45792914752408,11.128278553768428,108.77743870462255,39.710041141585705,62.75102617421923,201.0536148811862,138.302588706967,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,5,2,2022218,3 15,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.58051669607184,56.33246368069998,9.356273555514388,25.31662172276128,15.960348167246892,106.5636187948935,31.86734492700894,66.19975545706508,200.0275606190121,133.82780516194703,,18.43969993201567,72.98993140567678,9.686186507570802,25.31662172276128,15.630435215190477,106.0673471309568,33.77613467812006,66.83375875705889,200.0275606190121,133.1938018619532,,13.584616119563869,14.824032944120837,9.356273555514388,19.33050665305133,9.974233097536942,105.91205011938315,30.618543130231522,66.19975545706508,195.3944946312161,129.19473917415104,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,5,3,2022218,3 15,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.613988934941236,58.15458612965462,6.8099352067892704,25.436481499835132,18.626546293045863,111.90574182656546,38.00428968861459,64.77200377397689,200.08613203594018,135.31412826196328,,18.387613892303072,75.63435580145277,10.43000733473981,25.436481499835132,15.006474165095321,109.70017691214227,34.943318597308014,64.77200377397689,198.7323819730768,133.96037819909992,,13.834709772273897,19.14063959064097,6.8099352067892704,19.792148245146016,12.982213038356747,112.9020982509553,40.77247774401428,65.05441392645662,200.08613203594018,135.03171810948356,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,5,4,2022218,3 15,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.9926949414935,75.50312944517682,7.017741379225174,26.939895374298196,19.92215399507302,110.61237090657129,37.89921996622312,68.05911770553921,205.32737434652861,137.26825664098942,,18.985988310823572,100.63727847924152,11.234020486073867,26.939895374298196,15.70587488822433,98.25515257610954,29.25981233473907,68.08132121379637,160.9460774025528,92.86475618875642,,13.593345160623533,16.692227972310466,7.017741379225174,18.95660950901311,11.938868129787934,120.52412011910695,41.69999357529073,68.05911770553921,205.32737434652861,137.26825664098942,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
"
"
ESO LNAs,21x25,6,1,2022218,3 57,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.93618859119549,76.00383270913449,6.608747801858134,27.227942231088292,20.61919442923016,102.37135530830231,37.255950770973165,59.970037048756154,195.5536707444779,135.58363369572174,,18.890917559306384,102.71299333649633,11.540376370308818,27.227942231088292,15.687565860779474,97.51955650947892,33.26033411855328,59.970037048756154,176.85374313035433,116.88370608159818,,13.641975957114825,12.568219774586517,6.608747801858134,17.173451337824936,10.564703535966803,106.50869622230906,39.98260567856975,60.59681478931636,195.5536707444779,134.95685595516153,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,6,2,2022218,3 57,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.63136605008717,59.859405299811925,8.261113934919488,25.131726129497917,16.870612194578428,113.2754427683582,34.45028719057533,61.85654529708485,186.63423446469005,124.7776891676052,,18.526974083314627,77.85828099665395,9.99247031211658,25.131726129497917,15.139255817381336,107.42443291806924,32.03288073840042,61.85654529708485,186.63423446469005,124.7776891676052,,13.484735053182517,16.41875332217487,8.261113934919488,19.33045083628229,11.069336901362801,119.69426212552663,36.00275610504149,66.95541305984064,181.3514632568452,114.39605019700456,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,6,3,2022218,3 57,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.426587488110535,51.41804748606354,6.499393872670178,24.630318124832414,18.130924252162234,114.15261176722223,40.701391933496005,60.687779389349,202.89134021780518,142.20356082845618,,18.384453292896055,64.69158318640139,10.521283599477695,24.630318124832414,14.10903452535472,99.55781025465298,29.855955159160878,62.464388201716105,157.26876456935037,94.80437636763426,,13.112011676015667,13.150258927627386,6.499393872670178,18.435783549898602,11.936389677228423,127.68564275616241,44.22117558627353,60.687779389349,202.89134021780518,142.20356082845618,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ESO LNAs,21x25,6,4,2022218,3 57,NA,,67.00 -> 116.00,67.00 -> 90.00,90.00 -> 116.00,NA,NA,NA,,16.91963734615506,76.28409460225083,8.746272033119263,27.072776968396695,18.326504935277434,106.07768516913345,33.024176534611684,60.32878087402978,184.71759446015747,124.3888135861277,,18.855025604474427,103.26823445890264,10.901097739283902,27.072776968396695,16.171679229112794,104.85597022714215,30.904650389618308,60.32878087402978,175.06411824677483,114.73533737274505,,13.669401939641045,13.540662622376276,8.746272033119263,17.89007456579643,9.143802532677165,107.48758015737586,34.7844874866523,65.92246233927449,184.71759446015747,118.79513212088298,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
"
"
