Chain 2 - Calibration: 3 - Project: Test3 - 2022131 7 24 - 
CRBE: GV = NAV DV = +1.434V DI = +13.900mA    -   RTBE: GV = NAV DV = +1.420V DI = +16.000mA 
Center Frequency     = 0.075GHz    Marker Frequency     = 0.075GHz    Resolution Bandwidth = 8MHz    Video Bandwidth      = 10Hz    Frequency Span       = 25MHz    Power Bandwidth      = 24MHz    Attenuation          = 10dB
Frequency (GHz),Loss (dB),Cold Powers (dBm),Hot Powers (dBm),Hot Load Temps (K),Hot LNA Temps (K),Cold Load Temps (K),Cold LNA Temps (K),Calibrated Noise Temp (K),Pre Cold Measurement LNA Temp (K),Post Cold Measurement LNA Temp (K),Pre Hot Measurement LNA Temp (K),Post Hot Measurement LNA Temp (K),Pre Cold Measurement 1st Extra Temp (K),Post Cold Measurement 1st Extra Temp (K),Pre Hot Measurement 1st Extra Temp (K),Post Hot Measurement 1st Extra Temp (K),Pre Cold Measurement 2nd Extra Temp (K),Post Cold Measurement 2nd Extra Temp (K),Pre Hot Measurement 2nd Extra Temp (K),Post Hot Measurement 2nd Extra Temp (K)
81.0,1.202081256,-49.94,-51.65,50.720000000000006,21.0,20.24,21.0,90.21704471967197,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
82.0,1.198610492,-47.83,-49.35,50.63,21.0,20.189999999999998,21.0,96.43442138960894,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
83.0,1.195413991,-41.18,-55.56,50.78,21.0,20.25,21.0,49.03053729954879,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
84.0,1.192462571,-45.83,-48.33,50.650000000000006,21.0,20.27,21.0,74.29804182740664,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
85.0,1.189731153,-57.37,-44.79,50.78,21.0,20.29,21.0,26.787088709697677,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
86.0,1.187198054,-58.18,-49.83,50.620000000000005,21.0,20.13,21.0,24.545519310430468,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
87.0,1.184844418,-54.18,-40.31,50.67,21.0,20.3,21.0,27.051038742834013,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
88.0,1.182653766,-40.86,-49.29,50.61,21.0,20.12,21.0,51.63160680961023,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
89.0,1.180611618,-41.27,-59.96,50.790000000000006,21.0,20.099999999999998,21.0,48.71268879858563,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
90.0,1.178705202,-43.33,-50.09,50.690000000000005,21.0,20.13,21.0,53.762691695385,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
91.0,1.176923196,-50.29,-41.98,50.6,21.0,20.259999999999998,21.0,24.468009630724257,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
92.0,1.175255531,-41.32,-55.34,50.75,21.0,20.12,21.0,49.293049569281834,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
93.0,1.173693216,-42.27,-40.1,50.720000000000006,21.0,20.29,21.0,-3.281657028760449,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
94.0,1.172228195,-42.03,-53.54,50.64,21.0,20.12,21.0,49.92705797116812,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
95.0,1.170853227,-55.09,-40.14,50.77,21.0,20.27,21.0,27.532122119202647,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
96.0,1.169561781,-57.46,-45.31,50.63,21.0,20.23,21.0,26.809548769252867,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
97.0,1.168347956,-52.02,-57.34,50.620000000000005,21.0,20.189999999999998,21.0,56.84187440275801,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
98.0,1.167206396,-41.82,-40.85,50.800000000000004,21.0,20.22,21.0,-52.70580126065639,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
99.0,1.166132237,-42.73,-53.95,50.67,21.0,20.15,21.0,50.14119201153401,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
100.0,1.165121044,-56.55,-47.14,50.64,21.0,20.11,21.0,25.689026254806006,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
101.0,1.164168767,-53.57,-54.05,50.63,21.0,20.11,21.0,221.11096389435025,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
102.0,1.163271699,-43.09,-43.63,50.64,21.0,20.29,21.0,202.13071903476924,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
103.0,1.162426438,-55.72,-40.79,50.800000000000004,21.0,20.189999999999998,21.0,27.73295963289885,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
104.0,1.161629859,-57.17,-50.37,50.7,21.0,20.259999999999998,21.0,22.89207916230265,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
105.0,1.160879084,-46.19,-49.66,50.7,21.0,20.189999999999998,21.0,65.13042151536689,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
106.0,1.160171458,-56.54,-48.76,50.67,21.0,20.169999999999998,21.0,24.282507124311017,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
107.0,1.159504526,-59.81,-44.51,50.620000000000005,21.0,20.189999999999998,21.0,27.657201251698513,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
108.0,1.158876017,-43.61,-56.68,50.71,21.0,20.16,21.0,49.660148082969975,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
109.0,1.158283826,-59.47,-45.65,50.74,21.0,20.189999999999998,21.0,27.52246435449204,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
110.0,1.157725997,-40.27,-45.89,50.7,21.0,20.189999999999998,21.0,56.26275422003104,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
111.0,1.157200711,-56.66,-45.97,50.77,21.0,20.21,21.0,26.531184034453943,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
112.0,1.156706277,-51.91,-45.43,50.77,21.0,20.18,21.0,22.582951185423166,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
113.0,1.156241115,-48.93,-57.36,50.730000000000004,21.0,20.16,21.0,52.04933722953012,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
114.0,1.155803752,-52.99,-46.66,50.61,21.0,20.11,21.0,22.260913602807143,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
115.0,1.15539281,-50.88,-58.97,50.67,21.0,20.16,21.0,52.33002585154753,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
116.0,1.155007,-54.41,-54.0,50.800000000000004,21.0,20.15,21.0,-175.58543675955337,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
