Chain 2 - Calibration: 2 - Project: Test3 - 2022131 7 21 - 
CRBE: GV = NAV DV = +1.434V DI = +13.900mA    -   RTBE: GV = NAV DV = +1.420V DI = +16.000mA 
Center Frequency     = 0.075GHz    Marker Frequency     = 0.075GHz    Resolution Bandwidth = 8MHz    Video Bandwidth      = 10Hz    Frequency Span       = 25MHz    Power Bandwidth      = 24MHz    Attenuation          = 10dB
Frequency (GHz),Loss (dB),Cold Powers (dBm),Hot Powers (dBm),Hot Load Temps (K),Hot LNA Temps (K),Cold Load Temps (K),Cold LNA Temps (K),Calibrated Noise Temp (K),Pre Cold Measurement LNA Temp (K),Post Cold Measurement LNA Temp (K),Pre Hot Measurement LNA Temp (K),Post Hot Measurement LNA Temp (K),Pre Cold Measurement 1st Extra Temp (K),Post Cold Measurement 1st Extra Temp (K),Pre Hot Measurement 1st Extra Temp (K),Post Hot Measurement 1st Extra Temp (K),Pre Cold Measurement 2nd Extra Temp (K),Post Cold Measurement 2nd Extra Temp (K),Pre Hot Measurement 2nd Extra Temp (K),Post Hot Measurement 2nd Extra Temp (K)
100.0,1.165121044,-44.01,-47.72,50.64,21.0,20.14,21.0,63.443263322361005,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
101.0,1.164168767,-47.49,-51.52,50.64,21.0,20.189999999999998,21.0,61.72571610076425,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
102.0,1.163271699,-47.07,-43.28,50.61,21.0,20.15,21.0,13.750023982955064,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
103.0,1.162426438,-59.98,-59.53,50.71,21.0,20.169999999999998,21.0,-156.95682595514327,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
104.0,1.161629859,-44.02,-54.51,50.650000000000006,21.0,20.16,21.0,50.50708972824156,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
105.0,1.160879084,-42.41,-53.38,50.67,21.0,20.12,21.0,50.305504057932446,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
106.0,1.160171458,-43.37,-45.58,50.71,21.0,20.21,21.0,79.14463220021656,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
107.0,1.159504526,-46.74,-56.76,50.75,21.0,20.23,21.0,50.88346128410909,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
108.0,1.158876017,-45.9,-48.85,50.620000000000005,21.0,20.169999999999998,21.0,69.3299149467321,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
109.0,1.158283826,-44.27,-59.33,50.64,21.0,20.2,21.0,49.2051787109502,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
110.0,1.157725997,-40.95,-41.74,50.71,21.0,20.22,21.0,150.25279809363502,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
111.0,1.157200711,-42.95,-51.95,50.75,21.0,20.3,21.0,51.59869103002518,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
112.0,1.156706277,-40.29,-57.95,50.64,21.0,20.15,21.0,48.92381166800852,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
113.0,1.156241115,-58.95,-51.24,50.77,21.0,20.099999999999998,21.0,24.421968427196045,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
114.0,1.155803752,-58.01,-44.18,50.660000000000004,21.0,20.18,21.0,27.489575755571334,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
115.0,1.15539281,-46.11,-47.14,50.790000000000006,21.0,20.18,21.0,124.33497500906152,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
116.0,1.155007,-53.92,-57.52,50.77,21.0,20.29,21.0,64.46832049151166,21.0,21.0,21.0,21.0,40.0,35.0,40.0,35.0,30.0,45.0,30.0,45.0
